Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000133835,HSD17B4,1.848420381933377,0.0908760872035187,0.4934398974775965,1.853561294473551,0.01725812168184082,0.887413237358358,0.6342217447938692,-1.5318308897997346,0.004953389120133799
ENSG00000164334,FAM170A,0.028216844721857565,-1.5210019462282856,0.000000028627668185314166,0.08425278611243414,1.5801043141723343,0.0000000229276419302273,0.043242391690491086,0.6849364052277682,0.747963720375381
ENSG00000184838,PRR16,0.07184442771488349,-1.663064681302786,0.000000000000000000041345055167727154,0.24356714530685505,1.764161896278007,0.0000000000000000000018836176680527042,0.07207065281748513,-0.1305214972577371,0.9680007062131051
ENSG00000181867,FTMT,0.025395160249671807,-1.7198761866049401,0.00041076625156489057,0.08731652378924992,1.7779563404254808,0.0004868875645031743,0.043242391690491086,0.7728841045034711,0.5756214208598388
ENSG00000151304,SRFBP1,1.2704091704387102,0.4046332794265949,0.002153040437988042,0.9712048435506044,-0.38022319753261086,0.006187810257766601,0.8504337032463246,-0.5325722922729546,0.4794306642090534
ENSG00000113083,LOX,0.27088170932983263,-1.1698589823534578,0.0000000000000000015500428937328443,0.6004925846558942,1.1162613205794099,0.0000000000000012158731262522682,0.6918782670478574,1.158445536937295,0.007497880370580336
ENSG00000164185,ZNF474,0.037767161396947815,-2.629961722709268,0.0000000000000000000000000000000000000000033280820155957,0.08578465495084203,0.5018035952949322,0.0564612248790829,1.6287967536751642,5.205236189084483,0.000000000000000000000000000000000000000000000000000000000000000000023717542598652175
ENSG00000250803,AC010255.3,0.018449475395060713,-1.6378345664805574,0.00000041410778004102497,0.042892327475421016,1.0674629576204646,0.00362119815597973,0.18738369732546137,3.1985601242286616,0.000002000467628996035
ENSG00000064692,SNCAIP,0.34055561052765015,0.8679513483242636,0.0000004726452725987656,0.15012314616397354,-1.181060974865202,0.00000000038872747980950243,0.518908700285893,0.729645008520086,0.1551641767608426
ENSG00000205302,SNX2,1.3552767572559894,-0.28367436960380304,0.025207821838104372,1.6773963780566432,0.3061485034291904,0.020853590219643253,1.3981706646592116,-0.0027592872795672574,0.9317754334176551
ENSG00000064652,SNX24,0.9157451375501312,0.3078503039021434,0.024738840714535387,0.7674662880423546,-0.24388300310248853,0.0950841611680723,0.47566630859540193,-0.893318710017854,0.17123448119710907
ENSG00000168938,PPIC,0.5997164766653266,-0.1401068059963848,0.28948921101189473,0.6770860265762889,0.1793056995546063,0.19626474255989104,0.5044945697223959,-0.252538492376436,0.8621344638383619
